review,rating
"This place was amazing. Right off the start, the atmosphere when you walk in and down the stairs is hard to ignore. It's very spacious, so walks in...",5
Amazing food and great atmosphere I highly recommend this as a must try been a few times and never disappointed,5
"traveling in the area and had a taste for Thai. the reviews alone were enough to make me want to try Pai. However, not being from toronto, I had no idea how...",5
"One of my favourite restaurants in Toronto! I've come here a couple times and they nail everything from the food to service, all in a cozy casual...",5
I've been hearing such great things about this place for months and I have to say Rasa does not disappoint! This is one of my favourite restaurants I've...,5
This place continues to be mind blowing. The staff are wonderful and helpful. The cocktails are so balanced and the food will be fantasizes about for weeks....,5
A couple months ago I had the opportunity to try a variety of dishes from Richmond Station's à la carte menu with a big group of friends. From start to...,5
Had a fantastic meal at Richmond Station recently. Everything on the menu sounded incredible but my friend and I opted for the Station burger and the new...,5
"I brought in Ted for his birthday. 
Can't believe the staff actually gave him a plate saying ""Happy Birthday Ted""

This is a Michelin Star restaurant. Maybe...",5
"food is expected. Nothing surprising. their fries are bad, probably worse than mcdonalds",3
"My bf and I came here for our 5 year anniversary and Aloette did not disappoint. From the food to the service, the Aloette team took care of us. The little...",5
"This would have been a 5 star review, if I did not bear witness to the manager accosting the host/server. It was completely unreasonable. She said ""Stop...",3
I have been telling everyone I know from Toronto about Mira. Their food was amazing. B and I came here for dinner on a Friday night at around 9 pm ish and...,5
"My group of 6 came for dinner on a Wednesday night right before the end of the year/holidays. We had a reservation, but I noticed the restaurant was still...",3
"Location: 4 Located in a quaint, charming alleyway in older downtown Toronto's Fashion District. We walked from our hotel but judging from the area street...",4
"Came on a weekday night over the holidays, before a Raptors game. The restaurant is a 3 minute walk from Scotiabank - very close.

Excellent meal! The...",5
"I went here with my friend on Christmas Eve. The thing I love about Asian restaurants is that they are always open even on stat holidays.

They have an...",4
"The original Kinka Izakaya location lives up to its name with excellent quality and service for all customers!

You definitely get the Izakaya vibe upon...",5
"I LOVE THIS PLACE!!! ever since my first visit here I couldn't stop coming back for more, it is just so delicious and I loved everything i tried here. 
my...",5
"You can never go wrong with a class Japanese katsu so this slapped as per usual. 

Katsuya has extremely quick and efficient service to ensure you get your...",4
"I ordered the Carbonara Pork Loin Katsu! 

I love carbonara and I love Katsu, putting them together was super yum! The cream sauce had a slight seafood...",5
"Gusto 101 Ratings: 4.5/5 

Food: 5/5 - My boyfriend and I had our date night here, because Gusto is on my MUST go spots in Toronto. There's a lot of hype...",5
"We dropped by for a casual weekend dinner on the rooftop (enclosed) patio last month, and were seated promptly despite being early for our...",3
"There was a lot of hype around gusto 101 and I think it fell flat on the expectations. We started with the pepperoni pizza, kale salad and calamari. The...",3
"One of the best taco spots in downtown. This place is in Kensington market and it's always got a lineup but that lives very quickly. 
There's not too much...",5
"Back here again & better than I remembered. 
They have moved across the street from where they used to be (and listed on Google maps).
It is a way bigger...",5
"Being such a highly-recommended place, seven lives brought me in curious to see why. 

Ordered two tacos: camarones and blackened cod--both were a bit...",5
"Love this place, yummy quick eats.  My go to every time is the steak udon.  We are so lucky to have this place in our neighbourhood",5
"Amazing wagyu steak, service was excellent, but I'm not a huge fan with the online ordering. It takes away from the dining experience such as ordering my...",4
Pretty unassuming place but surprisingly good! Holy Cow is a casual Japanese steakhouse. They aim to execute really well while keeping the price point...,4
"Appetizers: 
1) CARPACCIO DI FILETTO DI MANZO CON TARTUFO NERO DI NORCIA E STRACCIATELLA DI BURRATA
Beef tenderloin with fresh black truffle  from Norcia...",4
Ever since I was young I remember people telling me that one of the best restaurants in Toronto was Sotto Sotto. I have now come to realize that those...,2
"Drake's (alleged) favorite restaurant?

After sitting on my food list patiently waiting to be crossed off, I finally got to try out Sotto Sotto!

We...",3
"I tried this place for the first time in September and after reading so much about it and hearing such great things, I was really excited to try it. I went...",4
"Delicious food and not too fancy of an atmosphere. The pasta, pizza, etc are very tasty. 

Just be aware that they do not take reservations, so come early...",5
"My boyfriend and I love Trattoria Nervosa. We
first discovered it last summer and went back in
the winter. The food is just as good as we
remembered -- if...",4
"Our waiter was so nice, friendly, and helpful. We were a group of 8 and he accommodated our seating accordingly, which i really appreciated.

This meal hit...",5
This place is always bumping and a cold Saturday night was no exception! Was surprised by the full house and the constant flow of people. The staff were...,3
"The food, delicious. My favorite type of noodle is the thick one.

The best noodle dish, I liked the classic.

The fried chicken, was nicely fried but has a...",4
"Went for dinner with a group organized by Rotman U of T
Definitely authentic Italian 
Owner showed me around 
And the food was like home. 
Had the risotto...",5
One of very few sit-down restaurants open kinda late (11pm) even on weekdays. Ordered the Funghi Saltati (22) - a mushroom appetizer with brie cheese and...,4
"Coming here felt like I was transported to Italy. The decor inside was beautiful, the food tasted authentic and the staff was so kind. The owner came to say...",5
I celebrated New Year's Eve at Byblos and the food was spectacular. There was a set menu for $125 a person which included a 5 course meal with many choices...,5
"Had this place on my 'to go' list for quite awhile, finally decided to try it out. 
We ordered Turkish manti dumplings, lentil pide, wagyu lahmeh pide,...",5
"Definitely make a reservation if you're planning on coming for dinner time. This place gets busy and I can see why. Items we got:

1. Turkish Manti...",5
Went for holiday dinner and had a great time in their private room. Fun time good food.,4
